graph_id,src,dst
472,2007,224
472,224,1179
472,1179,40
472,40,1282
472,1282,2130
473,1893,205
473,205,1893
473,1893,205
473,205,1376
473,1376,94
473,94,1793
473,1793,174
473,174,2185
474,2224,294
474,294,1286
474,1286,146
474,146,2130
474,2130,294
474,2224,1285
475,144,2230
475,2230,1178
475,144,39
475,1178,1750
476,1160,37
476,37,1284
476,1284,37
476,1160,1309
476,37,73
476,1309,1178
476,73,39
476,1178,1305
476,39,69
476,1305,1166
477,213,1092
477,1092,2144
477,213,272
477,2144,2115
478,2182,280
478,280,1366
478,1366,90
478,90,1981
478,1981,280
478,2182,1376
478,280,94
478,1376,2222
478,94,292
478,2222,1078
479,1918,208
479,208,1286
479,1286,146
479,146,1378
479,1378,208
479,1918,1286
479,208,146
479,1286,1078
480,1669,156
480,156,1235
480,1235,156
480,1669,1366
480,156,90
480,1366,1221
481,1894,206
481,206,1177
481,1177,206
481,1894,1215
481,206,47
481,1215,1376
481,47,94
481,1376,1793
481,94,174
481,1793,1366
482,102,1372
482,1372,92
482,92,1372
482,102,92
483,184,1992
483,1992,221
483,221,2219
483,2219,291
483,291,1177
483,1177,1376
483,184,94
483,1376,1793
483,94,174
483,1793,1373
484,1893,205
484,205,1376
484,1376,94
484,94,1793
484,1793,174
484,174,2023
484,2023,205
484,1893,2021
485,1179,40
485,40,1282
485,1282,40
485,1179,1996
485,40,223
485,1996,1166
486,2223,293
486,293,2230
486,2230,293
486,2223,2160
486,293,275
486,2160,1305
486,275,69
486,1305,1243
486,69,57
487,1752,215
487,215,1262
487,1262,215
487,1752,1262
488,1226,52
488,52,1166
488,1166,52
488,1226,1376
488,52,94
488,1376,1189
489,2024,228
489,228,2032
489,2032,230
489,230,1286
489,1286,146
489,146,1177
489,1177,228
489,2024,2023
490,2132,263
490,263,1376
490,1376,94
490,94,2222
490,2222,292
490,292,1164
490,1164,263
490,2132,1376
490,263,94
490,1376,1793
490,94,174
490,1793,1286
490,174,146
490,1286,2021
491,1015,267
491,267,1545
491,1545,267
491,1015,1182
492,1647,151
492,151,1372
492,1372,92
492,92,151
492,1647,1177
493,2133,264
493,264,1366
493,1366,90
493,90,1981
493,1981,264
493,2133,1548
494,29,1795
494,1795,1077
494,29,24
494,1077,1151
494,24,36
494,1151,2025
494,36,229
494,2025,2130
495,1399,98
495,98,1401
495,1401,98
495,1399,1242
496,27,1372
496,1372,92
496,92,1372
496,27,92
497,25,1242
497,1242,1097
497,25,25
497,1097,1242
498,1208,44
498,44,2306
498,2306,44
498,1208,2306
499,49,1306
499,1306,70
499,70,1077
499,1077,24
499,24,1262
499,1262,1306
499,49,70
499,1306,2233
500,2101,253
500,253,1376
500,1376,94
500,94,1793
500,1793,174
500,174,1281
500,1281,253
500,2101,1376
500,253,94
500,1376,2222
500,94,292
500,2222,1189
501,2212,286
